"Отметка времени","Арсенал Тула","Ахмат","Динамо","Зенит","Краснодар","Крылья Советов","Локомотив","Оренбург","Ростов","Рубин","Сочи","Спартак","Тамбов","Урал","Уфа","ЦСКА"
"2019/07/06 12:48:38 PM GMT+3","4","4","5","10","9","3","7","4","6","5","1","6","2","4","4","6"
"2019/07/06 1:17:50 PM GMT+3","6","5","5","9","8","6","8","6","7","6","4","8","3","5","5","9"
"2019/07/06 1:19:53 PM GMT+3","7","7","7","10","9","3","7","5","6","5","3","6","3","5","3","7"
"2019/07/06 1:23:47 PM GMT+3","6","5","6","10","9","3","8","2","7","3","1","7","1","3","4","7"
"2019/07/06 1:25:22 PM GMT+3","6","5","7","9","10","4","8","3","8","4","2","8","1","7","6","6"
"2019/07/06 1:27:03 PM GMT+3","6","4","6","10","8","6","9","5","7","3","1","9","1","7","4","9"
"2019/07/06 1:29:06 PM GMT+3","7","6","6","10","9","5","9","4","7","6","4","9","5","6","6","8"
"2019/07/06 1:33:26 PM GMT+3","5","6","7","10","9","4","9","3","8","3","1","9","1","5","3","9"
"2019/07/06 1:35:19 PM GMT+3","4","6","5","10","8","4","7","3","6","4","1","7","1","5","5","10"
"2019/07/06 1:37:07 PM GMT+3","4","4","6","10","8","5","8","5","6","6","2","8","2","6","6","9"
"2019/07/06 1:44:05 PM GMT+3","6","7","6","10","9","2","8","4","6","5","1","8","1","4","5","9"
"2019/07/06 1:51:59 PM GMT+3","5","6","6","10","9","2","8","6","7","3","2","7","1","4","4","8"
"2019/07/06 1:58:18 PM GMT+3","4","5","7","10","9","2","9","6","6","5","3","7","1","4","3","8"
"2019/07/06 2:03:34 PM GMT+3","6","6","7","10","9","4","7","6","7","4","5","7","4","5","4","8"
"2019/07/06 2:05:09 PM GMT+3","6","4","7","10","8","3","9","3","5","5","2","7","1","6","2","8"
"2019/07/06 2:14:50 PM GMT+3","5","6","4","9","8","4","9","5","6","6","1","8","1","5","3","10"
"2019/07/06 2:34:16 PM GMT+3","5","5","5","10","8","5","8","5","7","6","3","1","3","5","4","7"
"2019/07/06 2:36:21 PM GMT+3","5","6","6","9","8","4","7","6","6","5","2","7","2","5","4","8"
"2019/07/06 2:51:53 PM GMT+3","6","5","6","10","10","1","7","1","7","5","5","8","1","3","3","8"
"2019/07/06 3:13:02 PM GMT+3","6","6","6","10","10","3","9","5","5","5","4","8","3","4","6","9"
"2019/07/06 3:17:34 PM GMT+3","5","5","5","10","9","5","8","4","5","4","3","6","3","5","4","8"
"2019/07/06 3:25:08 PM GMT+3","5","6","7","10","9","3","8","4","6","5","3","8","1","4","3","9"
"2019/07/06 3:41:40 PM GMT+3","4","3","5","10","9","2","7","4","5","3","1","6","1","2","1","8"
"2019/07/06 3:44:32 PM GMT+3","5","3","6","10","10","4","7","2","6","4","1","7","2","6","5","7"
"2019/07/06 3:55:32 PM GMT+3","4","5","6","10","9","4","7","6","6","6","5","7","2","3","4","9"
"2019/07/06 3:56:34 PM GMT+3","6","4","4","9","9","3","8","3","5","4","2","7","2","5","4","8"
"2019/07/06 4:23:22 PM GMT+3","5","5","5","10","9","2","8","3","5","3","1","6","1","4","2","7"
"2019/07/06 4:23:46 PM GMT+3","7","4","7","10","10","3","8","5","6","4","2","7","1","5","4","8"
"2019/07/06 4:34:17 PM GMT+3","7","6","6","9","8","5","8","5","7","5","2","7","4","5","6","8"
"2019/07/06 5:02:19 PM GMT+3","6","6","6","8","8","4","8","5","5","5","3","7","3","5","5","7"
"2019/07/06 5:13:05 PM GMT+3","7","6","7","10","9","5","9","5","6","6","2","8","2","5","5","9"
"2019/07/06 5:33:28 PM GMT+3","6","4","5","10","9","5","9","6","7","5","1","6","1","4","2","9"
"2019/07/06 6:55:25 PM GMT+3","7","6","6","10","9","4","10","1","7","6","2","8","1","5","3","8"
"2019/07/06 7:58:37 PM GMT+3","5","6","6","10","9","4","8","5","6","6","3","8","1","5","5","8"
"2019/07/06 9:44:30 PM GMT+3","7","7","6","10","10","6","9","7","7","5","4","7","4","6","6","7"
"2019/07/06 10:49:57 PM GMT+3","5","5","6","9","9","3","8","5","6","4","2","9","2","6","5","8"
"2019/07/06 11:07:08 PM GMT+3","6","6","6","9","10","4","10","3","7","2","2","8","2","6","4","8"
"2019/07/06 11:17:06 PM GMT+3","6","5","4","9","8","3","8","4","5","3","1","2","1","4","5","10"
"2019/07/07 1:22:39 AM GMT+3","7","4","5","9","9","3","10","2","6","5","4","8","1","4","4","8"
"2019/07/07 1:56:44 AM GMT+3","5","5","6","8","8","4","8","4","6","5","2","7","3","5","4","7"
"2019/07/07 9:25:18 AM GMT+3","5","5","5","10","8","2","9","4","5","3","2","8","1","5","1","9"